No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
416|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|RKKE|1850|Rekayasa Kebutuhan Kelas E|setting
417|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Teknologi Aerosol|1854|Teknologi Aerosol|setting
418|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|AdPKB|1856|Algoritma dan Pemrograman Komputer B|setting
419|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|AdPKC|1857|Algoritma dan Pemrograman Komputer C|setting
420|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414082014|1867|KS141408 - Teknologi Open-Source dan Terbaru|setting
421|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|AdPA|1869|Algoritma dan Pemrograman (Kelas A)|setting
422|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Marin Optik|1870|RG141453 - Marin Optik|setting
423|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Komputasi Spasial - LMJ|1871|RG141207 - Komputasi Spasial - LMJ|setting
424|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141222|1875|Kimia Organik I kelas D|setting
425|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Konversi Data Spasial|1878|RG142414 - Konversi Data Spasial|setting
426|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|MO141205|1883|Fisika Kelautan|setting
427|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengukuran Kinerja dan Evaluasi TI_1|1889|KS141322 - Pengukuran Kinerja dan Evaluasi TI copy 1|setting
428|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|SFB-2|1892|Sistem Fungsinal Bisnis 2|setting
429|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|S|1893|Statistika|setting
430|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|MRTI-2|1895|Manajemen Risiko TI|setting
431|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|PETI|1896|Pemantauan dan Evaluasi TI|setting
432|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|PPL|1898|Perancangan Perangkat Lunak (PPL)|setting
433|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|PAA-PDITT|1899|Perancangan dan Analisis Algoritma (PAA)|setting
434|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Teknologi Informasi|1900|Teknologi Informasi - PDITT|setting
435|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|Mektek Terapan|1902|RC14-1341 - Applied Engineering Mechanics|setting
436|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|TID|1906|RC14-1356 - Drainage and Irrigation System and Structures|setting
437|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|PBA|1908|RC14-1364 - Water Building Construction Planning + Assignment|setting
438|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|TSP|1909|RC14-1365 - Coastal and River Engineering|setting
439|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|Mekflu-Hidrolika|1910|RC14-1337 - Fluid Mechanics and Hydraulics + Lab Work|setting
440|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|PAK|1911|RC14-1313 - Computer Programming and Application|setting
441|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|MBS|1912|RC14-1321 - Civil Engineering Drawing + Assignment|setting
442|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|CMT|1913|RC14-1323 - Concrete and Material Technology + Lab Work|setting
443|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|MPK|1914|RC14-1324 - Construction Management|setting
444|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|Mektek 1|1915|RC14-1311 - Statically-Determinate Structure|setting
445|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|LS|1916|RC14-1312 - Land Surveying|setting
446|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|STS|1917|RC14-1332 - Statistic for Civil Engineering|setting
447|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|SIS|1918|RC14-1333 - Statically Indeterminate Structure|setting
448|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|CS 1|1919|RC14-1334 - Concrete Structure 1|setting
449|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|RLL|1920|RC14-1335 - Traffic Engineering|setting
450|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|SKFP|1921|RC14-1336 - Project Financial Feasibility Study + Assignment|setting
451|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|ESS|1922|RC14-1342 - Elements of Steel Structures|setting
452|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|CS 2|1923|RC14-1343 - Concrete Structure 2|setting
453|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|Mektan|1924|RC14-1344 - Soil Mechanics and Foundations|setting
454|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|PPPK|1925|RC14-1345 - Time and Cost Planning Of Construction Project|setting
455|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|GJR|1926|RC14-1346 - Highway and Railway Geometrics|setting
456|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|Hidrolgi|1927|RC14-1347 - Hydrology|setting
457|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|CAD + Plaxis|1928|RC14-1351 - Software for Civil Engineering (CAD + Plaxis)|setting
458|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|CBS|1929|RC14-1352 - Concrete Building Structures + Assignment|setting
459|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|SBS|1930|RC14-1353 - Steel Building Structures + Assignment|setting
460|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|EERS|1931|RC14-1354 - Embankment and Earth-Retaining Structures|setting
461|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|TPM|1932|RC14-1355 - Transportation Planning and Modeling|setting
462|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|PPJ|1933|RC14-1363 - Highway Pavement Design + Lab Work|setting
463|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|RJ|1934|RC14-1362|Bridge Engineering + Assignment|setting
464|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|PSUTS|1935|RC14-1361 - Modeling of System for Civil Engineering|setting
465|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|SITC|1936|IG14-1107 - Scientific information technology and communication|setting
466|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|MTKons|1937|RC14-1372 - Construction Method and Equipment|setting
467|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|AP|1938|RC14-1373 - Airport Planning|setting
468|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|HP|1939|RC14-1374 - Harbor Planning|setting
469|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Dasar - EYH|1940|RG141306 - Pemetaan Teristris Dasar - EYH|setting
470|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Hidrografi - CBP|1941|RG141332 - Survei Hidrografi - CBP|setting
471|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Rekayasa - YWO|1942|RG141318 - Survei Rekayasa - YWO|setting
472|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Lanjut|1943|RG141311 - Pemetaan Teristris Lanjut|setting
473|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaaan Batas Wilayah|1944|RG141459 - Pemetaaan Batas Wilayah|setting
474|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RM184624 - AdPert - ABC&UWD|1945|RM184624 - Administrasi Pertanahan - ABC & UWD|setting
475|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Ilmu Kebumian|1946|RG141204 - Ilmu Kebumian|setting
476|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141214 - MatGe - HHT|1947|RG141214 - Matematika Geodesi - HHT|setting
477|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Toponimi|1948|RG141315 - Toponimi|setting
478|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RM1845202018B|1949|RM184520 - Fotogrametri Digital|setting
479|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Jaring Kontrol Geodesi (Kelas B)|1950|RG141326 - Jaring Kontrol Geodesi (Kelas B)|setting
480|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Penginderaan Jauh|1951|RG141324 - Penginderaan Jauh|setting
481|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Sistem Satelit Navigasi Global|1952|RG141325 - Survei Sistem Satelit Navigasi Global|setting
482|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Astronomi Geodesi|1953|RG141437 - Astronomi Geodesi|setting
483|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Fitur Dasar Laut|1954|RG141451 - Fitur Dasar Laut|setting
484|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Hiperspektral|1955|RG141446 - Hiperspektral|setting
485|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pengelolaan Wilayah Pesisir dan Laut|1956|RG141450 - Pengelolaan Wilayah Pesisir dan Laut|setting
486|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Teknologi Kebumian - KHM|1957|RG141208 - Teknologi Kebumian - KHM|setting
487|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Penilaian Tanah|1985|RG141461 - Penilaian Tanah|setting
488|Fakultas Ilmu Alam (FIA)|Kimia|BioLan|2016|SK142332 - Biokimia Lanjut|setting
489|Program Pasca Sarjana (PPS)|Program S1 Teknik Elektro|TE23456|2017|TE23456 Rangkaian Elektronika|setting
490|Fakultas Ilmu Alam (FIA)|Kimia|SK142331|2018|SK142331 - Bioinformatika|setting
491|UPT Penyelenggara Mata Kuliah Sosial Humaniora|none|wasbang 1|2028|Wawasan Kebangsaan 1|setting
492|Program Pasca Sarjana (PPS)|Program S1 Teknik Elektro|TE23456_1|2032|TE23456 Rangkaian Elektronika Backup copy 1|setting
493|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141311 A|2034|RE141311 Kimia Lingkungan I A|setting
494|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141333 A|2037|RE141333 Teknik Analisis Pencemar Lingkungan A|setting
495|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141334 A|2038|RE141334 Mekanika Tanah dan Geohidrologi A|setting
496|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|?RE141353 B|2041|RE141353 Sistem Penyediaan Air Minum B|setting
497|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141356 A|2042|RE141356 Manajemen Proyek A|setting
498|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141356 B|2043|RE141356 Manajemen Proyek B|setting
499|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141371 B|2045|RE141371 Pengelolaan Limbah B3 B|setting
500|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141342 A|2051|RE141342 Perencanaan Struktur A|setting
501|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141351 A|2052|RE141351 Pengendalian Emisi dan Ambien A|setting
502|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141342 B|2055|RE141342 Perencanaan Struktur B|setting
503|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141342 C|2056|RE141342 Perencanaan Struktur C|setting
504|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141334 B|2057|RE141334 Mekanika Tanah dan Geohidrologi B|setting
505|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141333 B|2058|RE141333 Teknik Analisis Pencemar Lingkungan B|setting
506|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141333 C|2059|RE141333 Teknik Analisis Pencemar Lingkungan Q|setting
507|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141351 B|2060|RE141351 Pengendalian Emisi dan Ambien Q|setting
508|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141351 C|2061|RE141351 Pengendalian Emisi dan Ambien C|setting
509|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141353 A|2062|RE141353 Sistem Penyediaan Air Minum A|setting
510|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141332 A|2063|RE141332 Hidrolika A|setting
511|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141332 B|2064|RE141332 Hidrolika B|setting
512|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141332 C|2065|RE141332 Hidrolika C|setting
513|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141353 C|2075|RE141353 Sistem Penyediaan Air Minum C|setting
514|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141307|2076|RE141307 Ekonomi Lingkungan|setting
515|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141310|2078|RE141310 Pemberdayaan Masyarakat|setting
516|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141311 B|2082|RE141311 Kimia Lingkungan I B|setting
517|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141311 Q|2083|RE141311 Kimia Lingkungan I Q|setting
518|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141311 D|2084|RE141311 Kimia Lingkungan I D|setting
519|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141331 A|2085|RE141331 Perpetaan A|setting
520|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142211|2088|RE142211 Pengendalian Pencemaran Lingkungan|setting
521|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142212|2089|RE142212 Pengelolaan Sumberdaya Air dan Lingkungan|setting
522|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142311|2090|RE142311 Operasi dan Proses Pengolahan Air|setting
523|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142331|2091|RE142331Operasi dan Proses Remediasi Lingkungan|setting
524|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE144416 S2|2092|RE144416 Inventarisasi Emisi|setting
525|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142414|2093|RE142414 Sistem Pengendalian Pencemaran Udara|setting
526|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142417|2094|RE142417 Ekohidrologi|setting
527|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE144411|2095|RE144411 Teknologi Pengolahan Lindi|setting
528|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142412|2096|RE142412 Teknologi Pengolahan Lumpur|setting
529|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142241|2097|RE142241 Pengantar Teknik Sanitasi Lingkungan|setting
530|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142343|2098|RE142343 Evaluasi Kelayakan Sektor Air Minum|setting
531|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142344|2099|RE142344 Evaluasi Kelayakan Sektor Air Limbah|setting
532|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142345|2100|RE142345 Evaluasi Kelayakan Sektor Persampahan|setting
533|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142346|2101|RE142346 Evaluasi Kelayakan Sektor Drainase|setting
534|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142342|2103|RE142342 Strategi Pembangunan Sektoral|setting
535|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142341|2104|RE142341 Analisis Rencana Induk Sistem|setting
536|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142347|2105|RE142347 Penyusunan Rencana Pembangunan Prasarana Lingkungan Permukiman (Studio)|setting
537|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE142242|2106|RE142242 Analisis Kebijakan Spasial|setting
538|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141334 C|2110|RE141334 Mekanika Tanah dan Geohidrologi Q|setting
539|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141331 B|2111|RE141331 Perpetaan B|setting
540|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141354 C|2112|RE141354 Sistem Penyaluan Air Limbah C|setting
541|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141354 B|2113|RE141354 Sistem Penyaluan Air Limbah B|setting
542|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141354 A|2114|RE141354 Sistem Penyaluan Air Limbah A|setting
543|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141356 C|2115|RE141356 Manajemen Proyek C|setting
544|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE143401|2116|RE143401 Penulisan Ilmiah dan Publikasi Internasional|setting
545|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE143311|2117|RE143311 Operasi dan Proses Teknik Lingkungan|setting
546|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE143211|2118|RE143211 Disain Riset Doktoral|setting
547|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE148403|2119|RE148403 Perpindahan Pencemar Multi-fase|setting
548|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE148402|2120|RE148402 Penyisihan Nutrien secara Biologis|setting
549|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MFD|2121|TF 141322 MEKANIKA FLUIDA|setting
550|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF141211|2123|TF 141211 MATEMATIKA I|setting
551|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141473|2127|PROSES PERMESINAN (S2)|setting
552|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|I141309|2169|Perancangan dan Analisis Algoritma I (D)|setting
553|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pasang Surut Air Laut|2171|RG141452 - Pasang Surut Air Laut|setting
554|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Informasi Geografis Lanjut|2174|RG142306 - Sistem Informasi Geografis Lanjut|setting
555|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pengolahan Citra Resolusi Tinggi|2175|RG142416 - Pengolahan Citra Resolusi Tinggi|setting
556|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF-141371|2197|TF 141371 DESAIN INSTRUMENTASI|setting
557|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|MO141200|2198|Kimia Rekayasa|setting
558|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141325A|2208|Perancangan Perangkat Lunak 2017|setting
559|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI142303|2209|Software Engineering 2017|setting
560|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI142303B|2210|Rekayasa Perangkat Lunak (B)|setting
561|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Infrastruktur Informasi Geospasial|2211|RG141448 - Infrastruktur Informasi Geospasial|setting
562|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141233|2215|TF 141233 FENOMENA GELOMBANG C|setting
563|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF141351|2216|TF 141351 SINYAL SISTEM|setting
564|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodesi Lingkungan|2222|RG141466 - Geodesi Lingkungan|setting
565|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Metodologi Penelitian (S1)|2225|RG141234 - Metodologi Penelitian|setting
566|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|35100RG1412012014A|2226|RG141201 - Matriks, Ruang dan Vektor - YBO|setting
567|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MPKI|2235|Metode Penelitian dan Komunikasi Ilmiah|setting
568|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Koordinat dan Transformasi (Kelas B)|2288|RG141327 - Sistem Koordinat dan Transformasi (Kelas B)|setting
569|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Basis Data - YBO|2289|RG141312 - Sistem Basis Data - YBO|setting
570|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|proposal TA|2291|Form Pendaftaran Proposal Tugas Akhir|setting
571|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Form Seminar TA|2295|Form Pendaftaran Seminar Tugas Akhir|setting
572|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Metodologi Penelitian - YBO|2299|RG 141234 - Metodologi Penelitian - YBO|setting
573|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Partisipatif|2301|RG141441 - Pemetaan Partisipatif|setting
574|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG0141213|2302|RG141217 - Statistika Kelas A|setting
575|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kadaster - YBO|2303|RG141309 - Kadaster - YBO|setting
576|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1413312014A|2304|TL141331 Dasar Pemrograman Komputer (A)|setting
577|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1412172014Q|2305|TL141217 Kimia Dasar (Q)|setting
578|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1413372014B|2306|TL141337 Pesawat Tenaga (B)|setting
579|Fakultas Teknologi Industri (FTI)|Teknik Industri|27100TI1412032014C|2307|TI141203 Pengetahuan Bahan Teknik (C)|setting
580|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Lanjut - DGP|2308|RG141311 - Pemetaan Teristris Lanjut - DGP|setting
581|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kemah Kerja|2309|RG141328 - Kemah Kerja|setting
582|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Metodologi Penelitian - DGP (Kelas A)|2358|RG141234 - Metodologi Penelitian - DGP (Kelas A)|setting
583|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|DMPB|2406|DMPB|setting
584|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|IT Scorecard|2407|IT Scorecard|setting
585|Fakultas Teknologi Industri (FTI)|Teknik Fisika|24100TF1413532014__|2619|TF141353 GETARAN|setting
586|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014A|2622|KS141205 - Algoritma dan Struktur Data A|setting
587|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014C|2624|KS141205 - Algoritma dan Struktur Data C|setting
588|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014D|2625|KS141205 - Algoritma dan Struktur Data D|setting
589|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413252014A|2626|KS141325 - Etika Profesi SI A|setting
590|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413252014Q|2628|KS141325 - Etika Profesi SI Q|setting
591|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412092014B|2630|KS141209 - Statistika B|setting
