No|Fakultas|Jurusan|Kode|Matakuliah|Mahasiswa|Aksi
499|Fakultas Teknologi Industri (FTI)|Teknik Industri|APK|TI141204 Algoritma dan Pemrogaman Komputer 3 C|34|setting
500|Fakultas Teknologi Industri (FTI)|Teknik Industri|mektek Q|TI141206 Mekanika Teknik Q|45|setting
501|Fakultas Teknologi Industri (FTI)|Teknik Industri|25100TI184101|TI184101-Pengantar Teknik dan Sistem Industri|203|setting
502|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184203C|TI184203|Statistik Industri 1 C|4|setting
503|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184306A|TI184306-Statistik Industri 2 A|94|setting
504|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184306D|TI184306-Statistik Industri 2 D|11|setting
505|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184307ABCD|TI184307|Analisis dan Estimasi Biaya ABCD|113|setting
506|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184307Q|TI184307|Analisis dan Estimasi Biaya Q|1|setting
507|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184308|Proses Manufaktur B|TI184308|Proses Manufaktur B|1|setting
508|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184309A|TI184309|Ergonomi Industri A|46|setting
509|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184309 C|TI184309 Ergonomi Industri C|13|setting
510|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184309Q|TI184309 Ergonomi Industri Q|52|setting
511|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184517A|TI184517-Teknik Pengendalian Kualitas A|9|setting
512|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184517C|TI184517-Teknik Pengendalian Kualitas C|9|setting
513|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184517Q|TI184517-Teknik Pengendalian Kualitas Q|40|setting
514|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184520A|TI184520|Perancangan dan Pengembangan Produk A|43|setting
515|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184520|Perancangan dan Pengembangan Produk C|TI184520|Perancangan dan Pengembangan Produk C|31|setting
516|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184520|Perancangan dan Pengembangan Produk D|TI184520|Perancangan dan Pengembangan Produk D|2|setting
517|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184727B|TI184727|Ekologi Industri B|4|setting
518|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184830Q|TI184830|Manajemen Proyek Q|44|setting
519|Fakultas Teknologi Industri (FTI)|Teknik Industri|25100TI184830|TI184830-Manajemen Proyek|85|setting
520|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184901|TI184901|Aplikasi Ergonomi Industri|22|setting
521|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184903|Ergonomi Makro|TI184903|Ergonomi Makro|39|setting
522|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184905|Faal dan Biomenikanika Kerja|TI184905|Faal dan Biomenikanika Kerja|25|setting
523|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184933|TI184933|Lean Concept & its Applications|3|setting
524|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184951|Analisa Keputusan|TI184951|Analisa Keputusan|25|setting
525|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184975|TI184975|Strategi Korporasi|17|setting
526|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI184979|TI184979|Manajemen Resiko Korporat|3|setting
527|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI185101A|TI185101|Statistika Industri Lanjut A|28|setting
528|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI185172|TI185172|Manufacturing Excellence|9|setting
529|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI185172SMI|TI185172 Manufacturing Excellence SMI|23|setting
530|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI185172VI|TI185172 Manufacturing Excellence VI|27|setting
531|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI185312|TI185312|Teknik Keandalan|11|setting
532|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI185545|TI185545|Perancangan Metode dan Sistem Kerja|8|setting
533|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141222C|TK141222 - Kimia Organik I (A)|42|setting
534|Sistem Pembelajaran Daring (SPADA) Indonesia|Backup PDITT|TK141223-Daring|TK141223 Kimia Analisa|109|setting
535|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141241D|TK141241 - Mikrobiologi Industri (C)|71|setting
536|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141481_|TK141481 PENGOLAHAN LIMBAH INDUSTRI & B3|67|setting
537|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1412142014Q|TL141214 Fisika Dasar Q|34|setting
538|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1412172014Q|TL141217 Kimia Dasar (Q)|41|setting
539|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1413312014A|TL141331 Dasar Pemrograman Komputer (A)|44|setting
540|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1413372014B|TL141337 Pesawat Tenaga (B)|51|setting
541|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|27100TL1413532014B|TL141353 Karakterisasi Material (B)|30|setting
542|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1423242014A|TM142324 - SISTEM PERC. & PENGENDALIAN MANUFAKTUR A|2|setting
543|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PTM-B|TM184101-PENGANTAR TEKNIK MESIN-B|40|setting
544|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PTM-C|TM184101-PENGANTAR TEKNIK MESIN-C|38|setting
545|Fakultas Teknologi Industri (FTI)|Teknik Mesin|KINDIN-D|TM184309-KINEMATIKA DAN DINAMIKA TEKNIK-D|40|setting
546|Fakultas Teknologi Industri (FTI)|Teknik Mesin|KINDIN-Y|TM184309-KINEMATIKA DAN DINAMIKA TEKNIK-Y|50|setting
547|Fakultas Teknologi Industri (FTI)|Teknik Mesin|METAL-Y|TM184310-METALURGI I-Y|43|setting
548|Fakultas Teknologi Industri (FTI)|Teknik Mesin|INSTRU-B|TM184411-INSTRUMENTASI DAN PENGUKURAN-B|31|setting
549|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TermoII-B|TM184412-Termodinamika II-B|34|setting
550|Fakultas Teknologi Industri (FTI)|Teknik Mesin|ELMES1-A|TM184414-ELEMEN MESIN 1-A|39|setting
551|Fakultas Teknologi Industri (FTI)|Teknik Mesin|ELMES1-B|TM184414-ELEMEN MESIN 1-B|39|setting
552|Fakultas Teknologi Industri (FTI)|Teknik Mesin|ANUM-A|TM184517-ANALISA NUMERIK-A|34|setting
553|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PROMANUI-Y|TM184518-PROSES MANUFAKTUR I-Y|38|setting
554|Fakultas Teknologi Industri (FTI)|Teknik Mesin|SISDIN-B|TM184521-SISTEM DINAMIK DAN PENGENDALIAN-B|38|setting
555|Fakultas Teknologi Industri (FTI)|Teknik Mesin|SISDIN-Y|TM184521-SISTEM DINAMIK DAN PENGENDALIAN-Y|44|setting
556|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MEKATRO-B|TM184626-MEKATRONIKA-B|28|setting
557|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PEM-D|TM184627-PERENCANAAN ELEMEN MESIN-D|11|setting
558|Fakultas Teknologi Industri (FTI)|Teknik Mesin|SPL-A|TM184793-SISTEM PENGENDALIAN LINEAR-A|22|setting
559|Fakultas Teknologi Industri (FTI)|Teknik Mesin|PPB-A|TM184843-PESAWAT PEMINDAH BAHAN-A|27|setting
560|Fakultas Teknologi Industri (FTI)|Teknik Mesin|BIO-A|TM184862-BIO ENERGI-A|25|setting
561|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MD-A|TM184865-MOULD DESIGN-A|22|setting
562|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TPM-A|TM185219-TEORI PENGENDALIAN MODERN-A|3|setting
563|Fakultas Teknologi Industri (FTI)|Teknik Mesin|APL-A|TM185311-Analisa Pencemaran Lingkungan-A|20|setting
564|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|RKL|Topik Dalam Rekayasa Kebutuhan (2018)|15|setting
565|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|TDSTKI|Topik Dalam Sistem Temu Kembali Informasi|17|setting
566|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|TDVKS2|Topik dalam Visi Komputer S2|14|setting
567|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|BI22|TPB Bahasa Inggris Kelas 22|51|setting
568|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|BI29|TPB Bahasa Inggris Kelas 29|43|setting
569|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bahasa Inggris Kelas 10|TPB-Bahasa Inggris Kelas 10|64|setting
570|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bahasa Inggris Kelas 2|TPB-Bahasa Inggris Kelas 2|73|setting
571|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|UK JTMM GENAP 2015/2016|UJI KOMPREHENSIF TEKNIK MATERIAL & METALURGI|195|setting
572|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KOMPRE|UJIAN KOMPREHENSIF S1 TEKNIK FISIKA|353|setting
573|Fakultas Ilmu Alam (FIA)|Kimia|Wawasan Riset|Wawasan Riset|2|setting
574|UPMB|none|WTKI|Wawasan Teknologi dan Komunikasi Ilmiah|1002|setting
