No|Fakultas|Jurusan|Matakuliah
24|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Metode Pengukuran
25|Mata Kuliah Program Kerjasama|none|Agama Islam
26|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Teknik Numerik Sistem Linier
27|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pemantauan dan Evaluasi Teknologi Informasi
28|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Matematika Diskrit
29|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|E-Learning Riset Desain Interior
30|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Mesin Arus Bolak Balik
31|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pengolahan Multimedia dan Lab
32|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Struktur data dan Analisa Algorithma
33|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Statistik Industri 2
34|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Struktur data dan Analisa Algorithma
35|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Rangkaian Dijital dan Lab
36|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Struktur Atom dan Molekul
37|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Inovasi Teknologi dan Pemasaran
38|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Struktur Atom dan Molekul
39|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Algorithma, Pemrograman dan Lab
40|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Matriks
41|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Fisika Rekayasa II
42|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Teknologi Mekanik
43|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Manajemen Proyek
44|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Me - Statistics : Mobile and Easy Statistics
45|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Persamaan Differensial Biasa
46|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Teknologi Informasi dan Komunikasi copy 2
47|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Penyelidikan Operasi Menggunakan Strategi Obyek Pembelajaran
48|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pembelajaran Fisiologi Tumbuhan
49|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Statistika Komputasional Berbasis SCL
50|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Statistika Komputasional Berbasis SCL copy 1
51|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Hidrologi Terapan
52|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Grafika Komputer
53|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Statistika berbasis Student Center Learning
54|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Perlakuan Panas
55|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|MENGGAMBAR INSTRUMENTASI DAN PERPIPAAN (P&ID) copy 1
56|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Statistik Industri
57|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Nama Mata Kuliah
58|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|PENGANTAR TECHNOPRENEURSHIP
59|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Mata Kuliah Kimia Fisika (Tekkim ITS)
60|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Nama Mata Kuliah
61|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|ADMINISTRASI KANTOR
62|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Mata Kuliah Nurahman
63|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Pelatihan Sistem E-Learning
64|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 45
65|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|REKAYASA PROSES BISNIS (BUSINESS PROCESS RE-ENGINEERING)
66|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Bahasa Indonesia
67|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 42
68|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Metodologi Penelitian
69|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|MANAJEMEN USER & MANAJEMEN AKTIVIAS
70|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Lupa Pasword 37
71|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pemetaan Terestris
72|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Korosi
73|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Sistem Perkapalan
74|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 35
75|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 34
76|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 33
77|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 32
78|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 31
79|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Kependudukan
80|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Dasar-dasar Struktur Baja
81|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Hidrologi Terapan
82|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|ILMU UKUR TANAH
83|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|STATISTIKA TERAPAN
84|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Menggambar Teknik dan Mesin
85|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|KIMIA ANALISA
86|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengetahuan Bahan teknik
87|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 22
88|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengelolaan Hubungan Pelanggan (Customer Relationship Management)
89|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengantar Sistem Informasi - RAV
90|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 19
91|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Riset Pemasaran
92|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 17
93|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Fisika Dasar
94|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Sintesis Senyawa Anorganik
95|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Kimia Industri
96|Hibah Pengembangan Pembelajaran|none|Mikoriza - Kristanti Indah Purwani
97|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah Kultur Jaringan Tumbuhan
98|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Bakteriologi
99|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah Kewarganegaraan
100|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Teori Statistika
101|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Analisis Real I
102|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Statistika
103|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Proyek Pengembangan Sistem Informasi
104|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Biology
105|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Mata Kuliah 04
106|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Analitic Geometry
107|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|MK. Manajemen Produksi Kapal
108|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Pelatihan Sistem E-Learning 5-6 Februari 2013|Pengetahuan Kesekretarisan
109|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|none|Pelatihan Pengembangan Pembelajaran Berbasis Share ITS
110|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Sistem Digital
111|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pemrograman Berorientasi Objek
112|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Pemrograman Berbasis Web
113|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Jaringan Multimedia
114|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Data Mining
115|Hibah Pengembangan Pembelajaran|Hibah Pengembangan Tahun 2012|Jaringan Nirkabel dan Komputasi Bergerak
116|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE141664 Teknik Numerik Sistem Linear
117|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE141663 Instrumentasi Sistem Pengaturan
118|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE141477 Sistem Pengaturan Cerdas
119|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE142427 Dinamika Sistem NonLinear
120|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|RE141668 Perancangan dan Integrasi Sistem
121|Fakultas Ilmu Alam (FIA)|Fisika|Analisis Data Difraksi 2014-15
122|Fakultas Ilmu Alam (FIA)|Kimia|SK091204 Kemometrik
123|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|MM091335 Matematika Rekayasa I
124|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IG-091311 Pengantar Technopreneurship
125|Fakultas Vokasi (F Vok.)|Teknik Instrumentasi|INSTRUMENTASI AKUSTIK DAN VIBRASI D-3 METROLOGI DAN INSTRUMENTASI
126|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|RE-1345 Proses Stokastik
127|Fakultas Vokasi (F Vok.)|Teknik Mesin Industri|Teori & Praktek Menggambar Teknik II
128|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG 091307 BAHASA INDONESIA
129|Fakultas Teknologi Industri (FTI)|Teknik Industri|IE-1402 Percobaan
130|Fakultas Ilmu Alam (FIA)|Fisika|Analisis Data Difraksi (S2) - Gasal 2014/2015
131|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Kimia Fisika
132|Fakultas Vokasi (F Vok.)|Teknik Kimia Industri|TK090317 Peralatan Pengendalian Proses
133|Hibah Pengembangan Pembelajaran|none|Proses Perpindahan
134|Fakultas Vokasi (F Vok.)|Teknik Elektro Otomasi|Technopreneurship
135|Fakultas Ilmu Alam (FIA)|Fisika|Elektro Digital - New
136|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG-091308 BAHASA INGRRIS
137|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|IG091308 BAHASA INGGRIS
138|UPT Penyelenggara Mata Kuliah Sosial Humaniora|S1|Bahasa Inggris copy 1
139|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PEMROSESAN SINYAL (PAK DHANY A)
140|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF185101 FISIKA TEKNIK LANJUT
141|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141316 - Kartografi Digital - ABC
142|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 GAMBAR TEKNIK (KELAS X)
143|Fakultas Vokasi (F Vok.)|Statistika Bisnis|SS090344 Pengendalian Kualitas Statistika
144|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RM184521 - Sistem Informasi Geografis - ABC
145|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141424 BISING LINGKUNGAN
146|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141536 - Tugas Akhir
147|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 FISIKA TERAPAN
148|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Mekanika Teknik Tegangan
149|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Pengantar Technopreunership
150|Hibah Pengembangan Pembelajaran|none|RC 090306 - Penggambaran Teknik dg Komputer 1-Kls-Y - Ir. Widjonarko, M.Sc(CS)
151|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 STATISTIKA TERAPAN (KELAS Z)
152|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Struktur Baja Bangunan Gedung 1
153|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Struktur Baja Dasar
154|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Struktur Beton Dasar
155|Fakultas Teknologi Industri (FTI)|Teknik Fisika|INSTRUMENTASI LANJUT
156|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Program Komputer - A
157|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|ANALISA STRUKTUR KELAS I PAK RIDHO
158|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 STATISTIK TERAPAN KELAS PAK RIDHO
159|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Operasi Teknik Kimia III - D
160|Praktikum Berbasis Share ITS|none|Praktikum Dasar Sistem Pengaturan
161|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 GAMBAR TEKNIK (KELAS Z)
162|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141335 - Kerja Praktek
163|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Sosialisasi Share ITS 2013|Pelatihan PEKERTI
164|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141317 - Fotogrametri Dasar - ABC
165|Praktikum Berbasis Share ITS|none|Workshop Pembekalan Asisten Laboratorium ITS
166|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141313 - Statistika
167|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141306 - Pemetaan Teristris Dasar - KHM
168|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141329 - Pemetaan Pertambangan - ABC
169|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE091563 Sistem Dinamik
170|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF185102 MATEMATIKA TEKNIK LANJUT
171|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DINAMIKA SISTEM LANJUT
172|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IDENTIFIKASI SISTEM
173|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SEMINAR PROPOSAL THESIS
174|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TEKNIK OPTIMASI
175|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KONTROL OTOMATIK LANJUT
176|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SISTEM KONTROL OTOMATIK LANJUT
177|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISIKA TUBUH MANUSIA
178|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DASAR DASAR CLINICAL ENGINEERING
179|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METODOLOGI PENELITIAN DAN RISET ILMIAH - S3
180|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FOTONIKA BIOMEDIK
181|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TEKNOLOGI PENCITRAAN MEDIS
182|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PENYUSUNAN PROPOSAL S3
183|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE091564 Sistem Even Diskrit
184|Fakultas Ilmu Alam (FIA)|Fisika|Elektronika Dasar II
185|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141241- MATEMATIKA REKAYASA II (PAK SUYANTO)
186|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Hidrologi Pak Kuntjoro
187|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknik Pelaks. & Alat Berat Pak DJoko
188|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE1578 - Sistem Multi-agen
189|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Hidrolika pak suharjoko
190|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Numerik pak Suharjoko
191|Hibah Pengembangan Pembelajaran|none|Materials for Energy Storage/Material Penyimpan Energi - Dr. Hamzah Fansuri
192|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141407 Sistem Fuzzy
193|Fakultas Teknologi Industri (FTI)|Teknik Fisika|Teknik Konversi & Konservasi Energi
194|Fakultas Teknologi Industri (FTI)|Teknik Fisika|Teknologi Informasi dan Komunikasi S1 ( 3 sks / 1)
195|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PROTEKSI RADIASI
196|Fakultas Ilmu Alam (FIA)|Fisika|Fisika Matematika I (B-Suminar Pratapa) Gasal 2014/2015
197|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Manajemen Kota
198|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Infrastruktur Kota
199|Fakultas Teknologi Industri (FTI)|Teknik Industri|TI-091309 Sistem Manufaktur
200|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RM184956 - Kadaster 3 Dimensi
201|Hibah Pengembangan Pembelajaran|none|Pengukuran Teknik - Dr. Ir. Agus Sigit Pramono.DEA
202|Hibah Pengembangan Pembelajaran|none|Proses Manufaktur - Prof.Dr.Ir. Udisubakti Ciptomulyono.M.Eng.Sc.
203|Hibah Pengembangan Pembelajaran|none|Ergodesain Interior - Ir. Susy Budi Astuti.MT.
204|Hibah Pengembangan Pembelajaran|none|Proses Perpindahan (Transport Processes) - Siti Nurkhamidah
205|Hibah Pengembangan Pembelajaran|none|Teknik Pengendalian Kualitas - Dr. Maria Anityasari. ST..ME.
206|Hibah Pengembangan Pembelajaran|none|Pengantar Teknologi Informasi dan Komunikasi - Arya Yudhi Wijaya SKom MSc
207|Hibah Pengembangan Pembelajaran|none|Perancangan dan Analisis Algoritma - Anny Yuniarti. S.Kom.M.Comp.Sc
208|Hibah Pengembangan Pembelajaran|none|Perumahan dan Pemukiman - Dr. Ir. Rimadewi Suprihardjo,MIP
209|Hibah Pengembangan Pembelajaran|none|Morphologi Kota - Rulli Pratiwi Setiawan, ST., M.Sc.
210|Hibah Pengembangan Pembelajaran|none|Drainase - S. Kamilia Aziz, ST.,MT
211|Hibah Pengembangan Pembelajaran|none|Komputasi Perencanaan - Ardy Maulidy Navastara (AMN)
212|Hibah Pengembangan Pembelajaran|none|Instrumentasi Lanjut - Ir. Ya' Umar, MT
213|Hibah Pengembangan Pembelajaran|none|REKAYASA KEBUTUHAN PERANGKAT LUNAK - Bambang Setiawan. S.Kom. MT
214|Hibah Pengembangan Pembelajaran|none|Teknik Analisis Perencanaan I. - Ketut Dewi Martha Erli Handayeni.ST..MT
215|Hibah Pengembangan Pembelajaran|none|Kimia Membran (S2) -Nurul Widiastuti. S.Si.M.Si.. Ph.D.
216|Hibah Pengembangan Pembelajaran|none|Karakterisasi Materials - Rindang Fajarin.S.Si..M.Si
217|Hibah Pengembangan Pembelajaran|none|Kimia Analisa - Yeny Rahmawati. ST. MT
218|Hibah Pengembangan Pembelajaran|none|Otomasi Industri - Yudha Prasetyawan.ST..M.Eng
219|Hibah Pengembangan Pembelajaran|none|Metalurgi II - Yuli Setiyorini. ST.. M.Eng.
220|Hibah Pengembangan Pembelajaran|none|Bahasa Inggris (IG091308) - Adi Suryani, SS., M.Ed., Ph.D
221|Hibah Pengembangan Pembelajaran|none|Desain Interior 1 - Anggra Ayu Rucitra
222|Hibah Pengembangan Pembelajaran|none|Aplikasi Ergonomi - Arief Rahman. ST.. M.Sc.
223|Hibah Pengembangan Pembelajaran|none|CAID 1 - Bambang Tristiyono. ST.. M.Si.
224|Hibah Pengembangan Pembelajaran|none|Perencanaan Pariwisata yang berkelanjutan - Dian Rahmawati.ST..MT.
225|Hibah Pengembangan Pembelajaran|none|Pengendalian Kualitas Statistika - Wibawati. S.Si..M.Si.
226|Hibah Pengembangan Pembelajaran|none|Operasi Teknik Kimia II - Prof. Dr. Ir. Tri Widjaya,M.Eng.
227|Hibah Pengembangan Pembelajaran|none|Bising Lingkungan - Ir. Tutug Dhanardono MT
228|Hibah Pengembangan Pembelajaran|none|Teknik Peramalan - Wiwik Anggraeni.S.Si..M.Kom
229|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Perumahan dan Permukiman
230|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Analisis Sumberdaya & Geo Lingk.
231|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Manajemen Proyek
232|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Komputasi Perencanaan
233|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Analisa Lokasi dan Keruangan
234|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Kependudukan
235|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Metode Penelitian
236|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Morphologi Kota
237|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Pembiayaan Pembangunan
238|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Pengembangan Masyarakat
239|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|Pengantar Lingkungan Pesisir
240|Fakultas Arsitektur, Desain Dan Perencanaan (FADP)|Perencanaan Wilayah Kota|PERENCANAAN TAPAK
