No|Fakultas|Jurusan|Kode|Nama Matakuliah
343|Fakultas Vokasi (F Vok.)|none|sb23131|Dini Ermavitalini
344|Fakultas Vokasi (F Vok.)|none|bio78654|maya shovitri
345|Fakultas Vokasi (F Vok.)|none|sb1233445|Nur Hidayatul Alami
346|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141316|PENGANTAR TEKNIK MESIN
347|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141324|PROGRAM KOMPUTER
348|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141325|MENGGAMBAR MESIN
349|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141231|Matematika Rekayasa
350|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|FR141306|Fisika Batuan
351|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141303|Geofisika Matematika I
352|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141307|Geofisika Matematika II
353|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141202|Sistem Informasi Geografis
354|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141311|Termodinamika
355|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141403|Manajemen Eksplorasi
356|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141314|Eksplorasi Seismik
357|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141313|Eksplorasi Geolistrik
358|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141312|Analisa Data Digital Geofisika
359|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141408|Akuisisi dan Pengolahan Data Seismik
360|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141406|Eksplorasi Air Tanah
361|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141315|Metoda Inversi
362|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141321|Kapita Selekta I
363|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|RF141411|Interpretasi Data Seismik
364|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geofisika|FR141323|Geotomografi
365|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413452014Y|TM141345 - ELEMEN MESIN 1 Y
366|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141347 (A)|METALURGI II (A)
367|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413252014Y|TM141325 - MENGGAMBAR MESIN Y
368|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM14133620014A|TM141336 - METALURGI I A
369|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413242014D|TM141324 - Program Komputer D
370|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM141346|TM141346 Dinamika Teknik D
371|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1412562014Y|TM141256 - Analisa Numerik Y
372|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM13242014A|TM1324 - Program Komputer A
373|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MMANS|TM141421 - METODE MATRIK UNTUK ANALISA STRUKTUR
374|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413322014A|TM141332 - TERMODINAMIKA I A
375|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413422014D|TM141342 - TERMODINAMIKA II D
376|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TPBB|TM141451 - TEKNIK PEMBAKARAN DAN BAHAN BAKAR
377|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413252014B|TM141325 - MENGGAMBAR MESIN B
378|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413622014E|TM141362 - STATISTIK & PERENCANAAN EKSPERIMEN D
379|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413412014C|TM141341 - PENGUKURAN TEKNIK C
380|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413412014B|TM141341 - PENGUKURAN TEKNIK B
381|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413472014D|TM141347 - METALURGI II D
382|Fakultas Teknologi Industri (FTI)|Teknik Mesin|MEKPAT|TM141489 - MEKANIKA PATAHAN
383|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413342014A|TM141334 - MEKANIKA KEKUATAN MATERIAL A
384|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1413262014A|TM141326 - STATIKA A
385|Fakultas Teknologi Industri (FTI)|Teknik Mesin|KONPLC|TM141427 - KONSTRUKSI PLAT DAN CANGKANG
386|Fakultas Teknologi Industri (FTI)|Teknik Industri|25100TI184101B|TI184101-Pengantar Teknik dan Sistem Industri B
387|Fakultas Teknologi Industri (FTI)|Teknik Industri|25100TI184101C|TI184101-Pengantar Teknik dan Sistem Industri C
388|Fakultas Teknologi Industri (FTI)|Teknik Industri|25100TI184101D|TI184101-Pengantar Teknik dan Sistem Industri D
389|Fakultas Teknologi Industri (FTI)|Teknik Industri|241TI185101Q|TI185101-Statistika Industri Lanjut Q
