No|Matakuliah|Ruang Chating|Percakapan
87|Probabilitas dan Proses Stokastik|Chat5_Proses Stokastik|2
88|Metode Kuantitafif dan Bisnis|Obrol - Metode Kuantitatif|143
89|Probabilitas dan Proses Stokastik|Chat7_Sistem Linear dengan Input Stokastik|2
90|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Kuliah bersama Bapak Wapres Boediono - 15 Oktober 2014|337
91|Bahasa Indonesia (Kelas VII, semester 1)|Diskusi: Struktur teks laporan hasil observasi|2
92|Teknologi Kimia Minyak Atsiri|Contoh Diskusi Sinkron (Chatting)|3
93|Pengawetan Kayu|Contoh Diskusi Sinkron (Chatting)|68
94|PENGERINGAN KAYU|Contoh Diskusi Sinkron (Chatting)|2
95|KIMIA LINGKUNGAN|Contoh Diskusi Sinkron (Chatting)|4
96|SURVEI GPS|Diskusi Kelas|2
97|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)|Tugas 1 : Sistem Kendali Mahasiswa SK UNSRI|45
98|Teknik pembakaran|Contoh Diskusi Sinkron (Chatting)|2
99|Sistem Informasi Perencaan|Contoh Diskusi Sinkron (Chatting)|3
100|Kimia Organik|Chatting1|2
101|Mata Kuliah 05|Pengenalan TIK|3
102|RG091410 Proyeksi Peta|Istilah Proyeksi Peta|9
103|Tahanan dan Propulsi Kapal|Diskusi|6
104|Satelit Altimetri (Responsi)|Aplikasi SSH|2
105|Dasar Kimia Organik|Diskusi Stereokimia 1|16
106|Wawasan Kebangsaaan|Sistematika Ilmiah|3
107|Mata Kuliah Agama Islam|Chatting Agama Islam|5
108|Perencanaan Bandara|Bagian-bagian Bandara|4
109|Literatur Kimia|Diskusi 1. Jenis Literatur Kimia|20
110|Quality Control Techniques|Framework of quality|5
111|Geofisika Matematika I|chat geomat 1: analisis vektor|3
112|Agama Islam|Chatting Agama Islam, yuk???|14
113|Kimia Dasar|Discussion of Solid|4
114|Dasar Kimia Organik|Diskusi Ikatan Kimia 1|2
115|Pemetaan I (D3 / 4SKS)|Chatting Pemetaan 1|47
116|Struktur Beton Dasar|Tempat Chatting (Tanya Jawab) Struktur Beton Dasar|6
117|Sistem Fungsional Bisnis 2|Masih bingung menjalankan permainan One to be Millionaire ?|25
118|KS091325 - Pemantauan dan Evaluasi TI|[PETI C] Chat for ISSM|46
119|Metode Numerik|Let's join !|9
120|Operasi Teknik Kimia III - D|Distilasi Fraksinasi|11
121|Panduan Mengisi Matakuliah di Share ITS|Sosialisasi Share ITS|32
122|MK03|Sosialisasi Share ITS|32
123|MK06|Sosialisasi Share ITS|32
124|Operasi Teknik Kimia II|Sosialisasi Share ITS|32
125|ATK 1|Sosialisasi Share ITS|32
126|RenewablEnergy|Sosialisasi Share ITS|32
127|Bioteknologi|Sosialisasi Share ITS|32
128|Sistem Basis Data|Sosialisasi Share ITS|32
129|WAVE PROPAGATION|electromagnetic waves|32
130|MK17|Sosialisasi Share ITS|32
131|Sistem Basis Data|Sosialisasi Share ITS|32
132|METODE REGRESI|Sosialisasi Share ITS|32
133|PENGANTAR METODE STATISTIKA|Sosialisasi Share ITS|32
134|Teori Statistika|Sosialisasi Share ITS|32
135|Termodinamika|Sosialisasi Share ITS|32
136|MK22|Sosialisasi Share ITS|32
137|MK21|Sosialisasi Share ITS|32
138|MK20|Sosialisasi Share ITS|32
139|EKOLOGI ARSITEKTUR|Sosialisasi Share ITS|32
140|Riset Operasi dan Optimasi|Sosialisasi Share ITS|32
141|Reinforced Concrete|Sosialisasi Share ITS|32
142|ENDOKRINOLOGI|Sosialisasi Share ITS|32
143|MK12|Sosialisasi Share ITS|32
144|MK30|Sosialisasi Share ITS|32
145|MK29|Sosialisasi Share ITS|32
146|MK28|Sosialisasi Share ITS|32
147|Materi Umum|Group Chat : Materi Umum|137
148|Materi Mahasiswa|Group Chat : Materi Mahasiswa|36
149|Materi Organisasi|Group Chat : Materi Organisasi|14
150|Materi Tenaga Kependidikan|Group Chat : Materi Karyawan|33
151|Materi Dosen|Group Chat : Materi Dosen|6
152|Rekayasa Kebutuhan Kelas E (2018)|Project Description|59
153|Rekayasa Kebutuhan Kelas E|Project Description|44
154|Rekayasa Kebutuhan Kelas E|Yuk chatting tentang pembuatan Scenario_lama|70
155|Rekayasa Kebutuhan Kelas E (2018)|Yuk chatting tentang pembuatan Scenario|74
156|Topik Dalam Rekayasa Kebutuhan (2018)|Yuk chatting tentang pembuatan Scenario_2016|137
157|PENGENDALIAN KUALITAS STATISTIKA|SQC Group|30
158|Topik Dalam Rekayasa Kebutuhan (2018)|Chatting materi requirements elicitation|165
159|Rekayasa Kebutuhan Kelas E|Chatting materi requirements elicitation|354
160|Rekayasa Kebutuhan Kelas E (2018)|Chatting materi requirements elicitation_lama|429
161|Rekayasa Kebutuhan Kelas E|Chatting materi Workshop 2016|2
162|Topik Dalam Rekayasa Kebutuhan (2018)|Chatting materi Requirement Analysis|180
163|Rekayasa Kebutuhan Kelas E (2018)|Chatting materi Requirements Analysis_lama|149
164|Rekayasa Kebutuhan Kelas E|Chatting materi Requirements Analysis 2016|175
165|Rekayasa Kebutuhan Kelas E|Chatting Materi Use Case|23
166|Rekayasa Kebutuhan Kelas E (2018)|Chatting Materi Requirements Specification|2
167|Rekayasa Kebutuhan Kelas E|Chatting Materi Requirements Specification|2
168|Topik Dalam Rekayasa Kebutuhan (2018)|Chatting Materi SMART|18
169|Rekayasa Kebutuhan Kelas E (2018)|Chatting Materi SMART|2
170|Topik Dalam Rekayasa Kebutuhan (2018)|Chatting Materi Requirements Verification and Validation|2
171|TF 141424 BISING LINGKUNGAN|CHATTING TENTANG MATERI EPNL|7
172|Topik Dalam Rekayasa Kebutuhan (2018)|Chatting materi Requirement Analysis|157
173|Statistika|[Class Activity] Diskusi Online|341
174|Statistika|[Class Activity] Diskusi Online|556
175|Kimia Analisa|Pertanyaan seputar Quiz online|90
176|RC14-1341 - Applied Engineering Mechanics|Diskusi Topic 9|2
177|Teknologi Informasi - PDITT|Contoh Sesi Chatting|174
178|Statistika|[Class Activity] Diskusi Online|136
179|Statistika|[Class Activity] Diskusi Online|192
180|Pelatihan Share ITS Agustus 2016|Contoh Diskusi Sinkron (Chatting)|2
181|Statistika|[Class Activity] Diskusi Online|28
182|Rekayasa Perangkat Lunak (B)|Chat: Introduction to Software Engineering|10
183|Rekayasa Perangkat Lunak (B)|Requirements Engineering|20
184|Software Engineering 2017|Software Design|2
185|Rekayasa Perangkat Lunak (B)|Software Construction|6
186|Software Engineering 2017|Software Construction|6
187|Perancangan Perangkat Lunak 2017|Use Case Diagram|4
188|Perancangan Perangkat Lunak 2017|Evaluation for Task 1 (11 october 2016 15.00 - 17.00 WIB.)|252
189|Rekayasa Perangkat Lunak (B)|Evaluation for Task 1 (13 october 2016 15.00 - 17.00 WIB.)|308
190|Software Engineering 2017|Evaluation for Task 1 (13 october 2016 15.00 - 17.00 WIB.)|286
191|Perancangan Perangkat Lunak 2017|Evaluation for Task 2|2
192|Rekayasa Perangkat Lunak (B)|Evaluation for Task 2|14
193|Software Engineering 2017|Evaluation for Task 2|11
194|Perancangan Perangkat Lunak 2017|Activity Diagram and State Diagram|21
195|Perancangan Perangkat Lunak 2017|Group I: IRCI Project (13 Desember 2016, 12:30 WIB)|126
196|Perancangan Perangkat Lunak 2017|Group II: IRCI Project (13 Desember 2016, 12:30 WIB)|193
197|Software Engineering 2017|Group I: IRCI Project (14 Desember 2016, 15:00 WIB)|184
198|Software Engineering 2017|Group II: IRCI Project (14 Desember 2016, 15:00 WIB)|234
199|Rekayasa Perangkat Lunak (B)|Group I: IRCI Project (14 Desember 2016, 09:30 WIB)|331
200|Rekayasa Perangkat Lunak (B)|Group II: IRCI Project (14 Desember 2016, 09:30 WIB)|278
201|Rekayasa Kebutuhan Kelas E (2018)|Project Description|2
202|Rekayasa Kebutuhan Kelas E (2018)|Yuk chatting tentang pembuatan Scenario|29
203|Rekayasa Kebutuhan Kelas E|Project Description|1
204|Rekayasa Kebutuhan Kelas E|Yuk chatting tentang pembuatan Scenario|19
205|Topik Dalam Rekayasa Kebutuhan (2018)|Scenario|4
206|Rekayasa Kebutuhan Kelas E (2018)|Chatting materi requirements elicitation|2
207|Rekayasa Kebutuhan (2018)|Online Consultation Time|200
208|Rekayasa Kebutuhan Kelas E|Chatting materi requirements elicitation|11
209|Rekayasa Kebutuhan Lanjut 2018|Chat: Usecase|6
210|Rekayasa Kebutuhan kelas E (2017)|Chat to Requiremens Elicitation|9
211|Rekayasa Kebutuhan (2018)|Chat to Requiremens Elicitation|2
212|Rekayasa Kebutuhan kelas E (2017)|Chat Task (Usecase)|83
213|Rekayasa Kebutuhan (2018)|Chat Task (Usecase)|89
214|Rekayasa Kebutuhan Lanjut 2018|Chat to SMART|8
215|Rekayasa Kebutuhan kelas E (2017)|Chat Group I|2
216|Rekayasa Kebutuhan kelas E (2017)|Chat Group III|81
217|Rekayasa Kebutuhan kelas E (2017)|Chat Group IV|1
218|Riset Operasi PDITT|Diskusi Week 1|23
219|Riset Operasi PDITT|Diskusi Week 2|409
220|Riset Operasi PDITT|Diskusi Week 3|618
221|Riset Operasi PDITT|Diskusi Week 4|359
222|Riset Operasi PDITT|Diskusi Week 5|364
223|Riset Operasi PDITT|Diskusi Week 6|550
224|Riset Operasi PDITT|Diskusi Week 7|303
225|Riset Operasi PDITT|Diskusi Week 9|84
226|KS141203 - Matematika Diskrit C|Discussion On Week 01|9
227|KS141203 - Matematika Diskrit C|Discussion On Week 02|100
228|KS141203 - Matematika Diskrit D|Discussion On Week 01|2
229|KS141203 - Matematika Diskrit D|Discussion On Week 02|84
230|Matematika I|Ngobrolin Matematika Yuuk|9
231|Kimia Organik|Tanya jawab seputar uji karbohidrat|522
232|Teknologi Makanan|zat aditif|124
233|Riset Operasi PDITT|Diskusi Week 10|356
234|Riset Operasi PDITT|Diskusi Week 11|460
235|Riset Operasi PDITT|Diskusi Week 12|278
236|Riset Operasi PDITT|Diskusi Week 14|260
237|Riset Operasi PDITT|Diskusi Week 15|277
238|Nama Mata Kuliah|Asistensi online|2
239|TM184310-METALURGI I-Y|question|6
240|TI185172 Manufacturing Excellence VI|Harvard Business Review #85117|27
241|TI185172 Manufacturing Excellence SMI|Class exercise|185
242|Perancangan dan Analisis Algoritma|Chat langsung tentang materi minggu ini|6
244|TF 185201 KONTROL OTOMATIK LANJUT|Diskusi Sistem Close Loop|9
245|RE141363A-Perencanaan Bangunan Pengolahan Air Minum Kelas A|Testing|2
246|TI185172 Manufacturing Excellence VI|Chat for QCD|275
247|TI185172 Manufacturing Excellence VI|Chat for R definition|21
248|TI185172 Manufacturing Excellence VI|Chat for R and Performance|17
249|TI185172 Manufacturing Excellence SMI|Chat QCD topic|6
250|Training TOT November 2018|Discussion on Blended Learning|121
251|PEKERTI PPNS 2018|Online Meeting : Chat Online|39
252|PEKERTI UC 2018 [3-6 Desember 2018]|Online Meeting: 01|76
